,Auction,Color,IsBadBuy,MMRCurrentAuctionAveragePrice,Size,TopThreeAmericanName,VehBCost,VehicleAge,VehOdo,WarrantyCost,WheelType
3001,MANHEIM,BLUE,False,7644,LARGE,GM,7740,2,63728,1703,Alloy
3002,MANHEIM,GREY,False,3247,LARGE TRUCK,CHRYSLER,5010,5,75002,569,Special
3003,MANHEIM,BLUE,False,5480,MEDIUM,CHRYSLER,6100,3,41058,975,Covers
3004,MANHEIM,SILVER,False,5638,MEDIUM,CHRYSLER,5500,3,57626,1086,Covers
3005,MANHEIM,GREY,False,10407,MEDIUM,GM,8570,1,72628,1272,Covers
3006,MANHEIM,BLACK,False,5651,MEDIUM,OTHER,4410,3,55716,505,Covers
3007,MANHEIM,SILVER,False,5677,MEDIUM,CHRYSLER,5400,3,58580,1086,Covers
3008,MANHEIM,SILVER,False,4603,MEDIUM,CHRYSLER,6025,3,32999,882,Covers
3009,MANHEIM,SILVER,False,10016,MEDIUM SUV,GM,8180,3,81304,2152,Alloy
3010,MANHEIM,WHITE,False,5560,MEDIUM,GM,5725,3,53784,671,Alloy
3011,MANHEIM,GREY,False,7469,LARGE TRUCK,CHRYSLER,8640,5,71312,920,Alloy
3012,MANHEIM,SILVER,False,8455,MEDIUM SUV,FORD,8985,5,70804,1155,Alloy
3013,MANHEIM,GREY,False,4393,MEDIUM,CHRYSLER,5225,3,63010,1118,Alloy
3014,MANHEIM,BLACK,True,10610,MEDIUM SUV,CHRYSLER,8385,5,87355,2282,Alloy
3015,MANHEIM,WHITE,False,3401,MEDIUM,FORD,3560,5,83842,983,Covers
3016,MANHEIM,BLACK,False,11664,MEDIUM SUV,CHRYSLER,9970,2,76355,1389,Alloy
3017,MANHEIM,BLACK,False,5456,LARGE SUV,GM,9270,5,73816,1623,Alloy
3018,MANHEIM,BLUE,True,7896,MEDIUM,CHRYSLER,7770,2,80308,1243,Covers
3019,MANHEIM,BLACK,False,9111,MEDIUM,CHRYSLER,7970,2,82295,1243,Covers
3020,MANHEIM,GOLD,True,9165,MEDIUM,CHRYSLER,7155,2,72665,920,Alloy
3021,MANHEIM,SILVER,False,2845,MEDIUM,GM,4710,7,75340,1806,Alloy
3022,MANHEIM,RED,False,3632,COMPACT,FORD,4660,5,67816,1020,Covers
3023,MANHEIM,WHITE,False,5013,COMPACT,FORD,5970,4,66610,1020,Covers
3024,MANHEIM,BLACK,False,6925,MEDIUM,CHRYSLER,8470,3,72666,1155,Covers
3025,MANHEIM,SILVER,False,5333,MEDIUM,FORD,6055,3,71313,920,Covers
3026,MANHEIM,BLACK,False,7456,MEDIUM,CHRYSLER,7670,3,75330,1155,Covers
3027,MANHEIM,GREY,True,8454,LARGE SUV,FORD,10050,6,97668,1630,Alloy
3028,MANHEIM,GOLD,False,4086,MEDIUM,CHRYSLER,5170,4,68861,1020,Alloy
3029,MANHEIM,SILVER,False,11893,CROSSOVER,CHRYSLER,9580,2,66193,1215,Alloy
3030,MANHEIM,SILVER,False,9923,SPECIALTY,CHRYSLER,10280,2,87710,1503,Covers
3031,MANHEIM,GREY,False,7549,LARGE,GM,8100,3,78495,1974,Covers
3032,MANHEIM,GOLD,False,4390,MEDIUM,FORD,5525,5,71819,920,Alloy
