,Auction,Color,IsBadBuy,MMRCurrentAuctionAveragePrice,Size,TopThreeAmericanName,VehBCost,VehicleAge,VehOdo,WarrantyCost,WheelType
0,ADESA,WHITE,False,2871,LARGE TRUCK,FORD,5300,8,75419,869,Alloy
1,ADESA,GOLD,True,1840,VAN,FORD,3600,8,82944,2322,Alloy
2,ADESA,RED,False,8931,SMALL SUV,CHRYSLER,7500,4,57338,588,Alloy
3,ADESA,GOLD,False,8320,CROSSOVER,FORD,8500,5,55909,1169,Alloy
4,ADESA,GREY,False,11520,LARGE TRUCK,FORD,10100,5,86702,853,Alloy
5,ADESA,SILVER,False,2659,COMPACT,GM,4100,7,73810,1455,Covers
6,ADESA,RED,False,4645,VAN,FORD,5600,5,85003,1633,Covers
7,ADESA,SILVER,False,4352,LARGE,GM,5900,5,88991,2152,Covers
8,ADESA,SILVER,False,5142,MEDIUM,GM,6600,5,80077,1373,Alloy
9,ADESA,MAROON,False,9983,MEDIUM,OTHER,7500,3,71952,1272,Alloy
10,ADESA,WHITE,False,4165,MEDIUM,OTHER,6200,4,23881,462,Covers
11,ADESA,GOLD,False,2422,VAN,GM,5100,9,83238,5392,Alloy
12,ADESA,SILVER,False,6603,MEDIUM,OTHER,7300,3,68165,728,Covers
13,ADESA,GREEN,False,6149,LARGE,FORD,6600,5,93346,1774,Alloy
14,ADESA,SILVER,True,6057,MEDIUM,CHRYSLER,6400,3,73963,1389,Covers
15,ADESA,SILVER,False,8113,SPECIALTY,CHRYSLER,10400,5,64839,1215,Alloy
16,ADESA,RED,False,6702,MEDIUM,GM,7100,4,63151,923,Covers
17,ADESA,MAROON,False,3320,MEDIUM,GM,4700,7,92782,1209,Alloy
18,ADESA,GREY,False,7708,SPECIALTY,CHRYSLER,9400,5,72592,1389,Alloy
19,ADESA,WHITE,False,2700,MEDIUM,GM,3900,8,88667,2712,Alloy
20,ADESA,RED,False,7860,MEDIUM,CHRYSLER,7500,2,50644,754,Covers
21,ADESA,SILVER,False,7785,LARGE,GM,8300,3,58384,1500,Alloy
22,ADESA,BLUE,False,8091,LARGE SUV,FORD,9500,6,80906,1113,Alloy
23,ADESA,WHITE,False,6793,SMALL SUV,OTHER,7935,5,59801,754,Alloy
24,ADESA,WHITE,False,6741,MEDIUM SUV,FORD,9335,6,77178,1740,unkwnWheel
25,ADESA,GREY,False,3895,SMALL SUV,FORD,7100,8,79030,1220,unkwnWheel
26,ADESA,SILVER,True,6554,MEDIUM,OTHER,6700,4,61315,728,Alloy
27,ADESA,SILVER,False,2988,MEDIUM,GM,4700,9,92792,2651,Alloy
28,ADESA,GREY,False,5396,SPORTS,FORD,6600,6,82271,853,Alloy
29,ADESA,RED,True,4775,MEDIUM,CHRYSLER,6150,4,66568,1215,Covers
30,ADESA,RED,False,5483,MEDIUM SUV,GM,7600,8,82158,1543,Alloy
31,ADESA,GOLD,False,12290,MEDIUM SUV,CHRYSLER,10050,3,62233,1508,Alloy
32,ADESA,GREY,False,6045,MEDIUM,GM,7600,3,53642,837,Covers
33,ADESA,BLACK,False,6109,MEDIUM,CHRYSLER,5100,4,85894,1503,Covers
34,ADESA,SILVER,False,4103,MEDIUM,GM,5600,4,79708,803,Covers
35,ADESA,GREY,False,8055,MEDIUM SUV,GM,8950,4,63908,1215,Covers
36,ADESA,GOLD,False,1748,COMPACT,OTHER,3700,6,77552,569,Covers
37,ADESA,SILVER,False,11099,SMALL SUV,CHRYSLER,9900,2,71757,1506,Alloy
38,ADESA,BLUE,True,4231,MEDIUM SUV,OTHER,7300,7,74273,2157,Alloy
39,ADESA,WHITE,False,6691,LARGE TRUCK,FORD,7800,6,80444,853,Alloy
